行政区,坐标,数量
青浦区,"121.230804,31.139081",44
青浦区,"121.230804,31.122081",16
青浦区,"121.247804,31.258081",17
青浦区,"121.247804,31.224081",64
青浦区,"121.247804,31.207081",133
青浦区,"121.247804,31.190081",7
青浦区,"121.247804,31.173081",57
青浦区,"121.247804,31.156081",11
青浦区,"121.247804,31.139081",5
青浦区,"121.264804,31.190081",167
青浦区,"121.264804,31.173081",849
青浦区,"121.264804,31.156081",36
青浦区,"121.264804,31.139081",28
青浦区,"121.281804,31.190081",45
青浦区,"121.281804,31.173081",633
青浦区,"121.281804,31.156081",75
青浦区,"121.281804,31.139081",89
青浦区,"121.298804,31.190081",298
青浦区,"121.298804,31.173081",269
青浦区,"121.298804,31.156081",104
青浦区,"121.315804,31.173081",276
